因子,方向
"['new_on_balance_volume', 'fund_size_neutral', 'eri_high_5']","['true', 'true', 'false']"
"['new_on_balance_volume', 'fund_size_neutral', 'eri_high_10']","['true', 'true', 'false']"
"['new_on_balance_volume', 'fund_size_neutral', 'eri_high_20']","['true', 'true', 'false']"
"['new_on_balance_volume', 'fund_size_neutral', 'eri_low_5']","['true', 'true', 'false']"
"['new_on_balance_volume', 'fund_size_neutral', 'eri_low_10']","['true', 'true', 'false']"
"['new_on_balance_volume', 'fund_size_neutral', 'eri_low_20']","['true', 'true', 'false']"
"['new_on_balance_volume', 'fund_size_neutral', 'emv_5']","['true', 'true', 'false']"
"['new_on_balance_volume', 'fund_size_neutral', 'emv_10']","['true', 'true', 'false']"
"['new_on_balance_volume', 'fund_size_neutral', 'emv_20']","['true', 'true', 'false']"
"['new_on_balance_volume', 'fund_size_neutral', 'amplitude_5']","['true', 'true', 'false']"
"['new_on_balance_volume', 'fund_size_neutral', 'amplitude_10']","['true', 'true', 'false']"
"['new_on_balance_volume', 'fund_size_neutral', 'amplitude_20']","['true', 'true', 'false']"
"['new_on_balance_volume', 'fund_size_neutral', 'turnover_rate_5']","['true', 'true', 'true']"
"['new_on_balance_volume', 'fund_size_neutral', 'turnover_rate_10']","['true', 'true', 'true']"
"['new_on_balance_volume', 'fund_size_neutral', 'turnover_rate_20']","['true', 'true', 'true']"
"['new_on_balance_volume', 'fund_size_neutral', 'k_indicator_5']","['true', 'true', 'true']"
"['new_on_balance_volume', 'fund_size_neutral', 'k_indicator_10']","['true', 'true', 'false']"
"['new_on_balance_volume', 'fund_size_neutral', 'k_indicator_20']","['true', 'true', 'false']"
"['new_on_balance_volume', 'fund_size_neutral', 'd_indicator_5']","['true', 'true', 'false']"
"['new_on_balance_volume', 'fund_size_neutral', 'd_indicator_10']","['true', 'true', 'false']"
"['new_on_balance_volume', 'fund_size_neutral', 'd_indicator_20']","['true', 'true', 'false']"
"['new_on_balance_volume', 'fund_size_neutral', 'j_indicator_5']","['true', 'true', 'true']"
"['new_on_balance_volume', 'fund_size_neutral', 'j_indicator_10']","['true', 'true', 'false']"
"['new_on_balance_volume', 'fund_size_neutral', 'j_indicator_20']","['true', 'true', 'false']"
"['new_on_balance_volume', 'fund_size_neutral', 'investment_income_coverage']","['true', 'true', 'false']"
"['new_on_balance_volume', 'fund_size_neutral', 'interest_income_coverage']","['true', 'true', 'true']"
"['new_on_balance_volume', 'fund_size_neutral', 'profit_margin']","['true', 'true', 'true']"
"['new_on_balance_volume', 'fund_size_neutral', 'peg']","['true', 'true', 'false']"
"['new_on_balance_volume', 'fund_size_neutral', 'eps']","['true', 'true', 'false']"
"['new_on_balance_volume', 'fund_size_neutral', 'expense_coverage_ratio']","['true', 'true', 'true']"
"['new_on_balance_volume', 'fund_size_neutral', 'roa']","['true', 'true', 'false']"
"['new_on_balance_volume', 'fund_size_neutral', 'debt_to_equity_ratio']","['true', 'true', 'false']"
"['new_on_balance_volume', 'fund_size_neutral', 'roe']","['true', 'true', 'false']"
"['new_on_balance_volume', 'fund_size_neutral', 'pb_ratio']","['true', 'true', 'false']"
"['new_on_balance_volume', 'fund_size_neutral', 'pe_ratio']","['true', 'true', 'false']"
"['new_on_balance_volume', 'fund_size_neutral', '成交额_std_5']","['true', 'true', 'true']"
"['new_on_balance_volume', 'fund_size_neutral', 'Stochastic_K_20']","['true', 'true', 'false']"
"['new_on_balance_volume', 'fund_size_neutral', 'Volume_Ratio_20']","['true', 'true', 'false']"
"['new_on_balance_volume', 'fund_size_neutral', 'MeanAmplitude_5']","['true', 'true', 'false']"
"['new_on_balance_volume', 'fund_size_neutral', '成交额_mean_5']","['true', 'true', 'true']"
"['new_on_balance_volume', 'fund_size_neutral', 'On_balance_value']","['true', 'true', 'false']"
